"TableName","TablePurpose","Ownership","ColumnOrdinal","ColumnName","SqlType","Nullable","KeyRole","DefaultDefinition","IndexNames","ProductionRows","ProductionNonNullRows","ProductionFillPercent","AgentStrongReferences","AgentTokenReferences","DevAppStrongReferences","DevAppTokenReferences","ProdAppStrongReferences","ProdAppTokenReferences","AllStrongReferences","AllTokenReferences","DataSensitivity","Assessment","MigrationRecommendation","Note"
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","8","ObjectGUID","uniqueidentifier","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","9","objectSid","nvarchar(max)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","10","servicePrincipalName","varchar(max)","True","","","","15130","5","0.03","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","11","ServicePrincipalNames","varchar(max)","True","","","","15130","5","0.03","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","12","UserPrincipalName","varchar(8000)","True","","","","15130","15126","99.97","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","13","DistinguishedName","varchar(8000)","True","","","","15130","15130","100","5","6","0","0","0","0","5","6","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","14","CN","varchar(8000)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","15","CanonicalName","varchar(8000)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","16","ou","varchar(8000)","True","","","","15130","15130","100","0","1","0","9","0","9","0","19","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","17","PrimaryGroup","varchar(8000)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","18","primaryGroupID","int","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","19","SamAccountName","varchar(8000)","True","","","","15130","15130","100","0","2","10","14","5","10","15","26","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","20","Name","varchar(8000)","True","","","","15130","15130","100","16","25","1","20","21","59","38","104","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","21","sAMAccountType","int","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","22","EmployeeID","varchar(8000)","True","","","","15130","1492","9.86","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","23","EmployeeNumber","varchar(8000)","True","","","","15130","7016","46.37","0","0","3","3","3","3","6","6","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","24","EmailAddress","varchar(8000)","True","","","","15130","7651","50.57","0","0","2","2","0","0","2","2","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","25","mail","varchar(8000)","True","","","","15130","7651","50.57","0","0","2","2","0","0","2","2","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","26","mailNickname","varchar(8000)","True","","","","15130","7556","49.94","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","27","Enabled","bit","True","","","","15130","15130","100","13","22","1","5","7","13","21","40","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","28","Manager","varchar(8000)","True","","","","15130","7732","51.1","0","0","0","2","0","2","0","4","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","29","AccountExpirationDate","datetime2(7)","True","","","","15130","1692","11.18","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","30","AccountLockoutTime","datetime2(7)","True","","","","15130","177","1.17","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","31","AccountNotDelegated","bit","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","32","showInAddressBook","varchar(max)","True","","","","15130","7577","50.08","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","33","DisplayName","varchar(8000)","True","","","","15130","15121","99.94","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","34","displayNamePrintable","varchar(8000)","True","","","","15130","1","0.01","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","35","Surname","varchar(8000)","True","","","","15130","9515","62.89","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","36","GivenName","varchar(8000)","True","","","","15130","9595","63.42","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","37","Initials","varchar(8000)","True","","","","15130","6357","42.02","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","38","State","varchar(8000)","True","","","","15130","153","1.01","1","1","0","0","0","0","1","1","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","39","StreetAddress","varchar(8000)","True","","","","15130","7322","48.39","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","40","physicalDeliveryOfficeName","varchar(8000)","True","","","","15130","167","1.1","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","41","Office","varchar(8000)","True","","","","15130","167","1.1","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","42","roomNumber","varchar(max)","True","","","","15130","3916","25.88","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","43","PostalCode","varchar(8000)","True","","","","15130","7366","48.68","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","44","City","varchar(8000)","True","","","","15130","6799","44.94","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","45","Country","varchar(8000)","True","","","","15130","6343","41.92","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","46","countryCode","int","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","47","st","varchar(8000)","True","","","","15130","153","1.01","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","48","postOfficeBox","varchar(max)","True","","","","15130","131","0.87","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","49","POBox","varchar(8000)","True","","","","15130","131","0.87","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","50","co","varchar(8000)","True","","","","15130","41","0.27","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","51","Company","varchar(8000)","True","","","","15130","8413","55.6","4","7","11","11","9","9","24","27","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","52","Department","varchar(8000)","True","","","","15130","8416","55.62","0","0","1","1","1","1","2","2","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","53","Title","varchar(8000)","True","","","","15130","8382","55.4","7","9","3","34","5","35","15","78","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","54","homeMDB","varchar(8000)","True","","","","15130","7555","49.93","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","55","HomedirRequired","bit","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","56","HomeDrive","varchar(8000)","True","","","","15130","8738","57.75","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","57","HomeDirectory","varchar(8000)","True","","","","15130","8764","57.92","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","58","ScriptPath","varchar(8000)","True","","","","15130","1","0.01","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","59","ProfilePath","varchar(8000)","True","","","","15130","3","0.02","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","60","proxyAddresses","varchar(max)","True","","","","15130","7557","49.95","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","61","telephoneNumber","varchar(8000)","True","","","","15130","4505","29.78","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","62","MobilePhone","varchar(8000)","True","","","","15130","5911","39.07","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","63","ipPhone","varchar(8000)","True","","","","15130","6","0.04","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","64","HomePhone","varchar(8000)","True","","","","15130","31","0.2","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","65","OfficePhone","varchar(8000)","True","","","","15130","4505","29.78","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","66","otherTelephone","varchar(max)","True","","","","15130","571","3.77","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","67","facsimileTelephoneNumber","varchar(8000)","True","","","","15130","197","1.3","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","68","Fax","varchar(8000)","True","","","","15130","197","1.3","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","69","wWWHomePage","varchar(8000)","True","","","","15130","2","0.01","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","70","HomePage","varchar(8000)","True","","","","15130","2","0.01","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","71","Description","varchar(8000)","True","","","","15130","9770","64.57","4","5","2","2","2","2","8","9","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","72","info","varchar(8000)","True","","","","15130","4819","31.85","14","26","0","0","0","0","14","26","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","73","msExchWhenMailboxCreated","datetime2(7)","True","","","","15130","9476","62.63","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","74","msTSExpireDate","datetime2(7)","True","","","","15130","77","0.51","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
